,title,link
62,Toward Understanding the Impact of Staleness in Distributed Machine Learning,https://openreview.net/forum?id=BylQV305YQ
63,Beyond Greedy Ranking: Slate Optimization via List-CVAE,https://openreview.net/forum?id=r1xX42R5Fm
64,G-SGD: Optimizing ReLU Neural Networks in its Positively Scale-Invariant Space,https://openreview.net/forum?id=SyxfEn09Y7
65,Spherical CNNs on Unstructured Grids,https://openreview.net/forum?id=Bkl-43C9FQ
66,Boosting Robustness Certification of Neural Networks,https://openreview.net/forum?id=HJgeEh09KQ
67,Two-Timescale Networks for Nonlinear Value Function Approximation,https://openreview.net/forum?id=rJleN20qK7
68,Differentiable Perturb-and-Parse: Semi-Supervised Parsing with a Structured Variational Autoencoder,https://openreview.net/forum?id=BJlgNh0qKQ
69,Algorithmic Framework for Model-based Deep Reinforcement Learning with Theoretical Guarantees,https://openreview.net/forum?id=BJe1E2R5KX
70,Tree-Structured Recurrent Switching Linear Dynamical Systems for Multi-Scale Modeling,https://openreview.net/forum?id=HkzRQhR9YX
71,Diagnosing and Enhancing VAE Models,https://openreview.net/forum?id=B1e0X3C9tQ
72,Efficiently testing local optimality and escaping saddles for ReLU networks,https://openreview.net/forum?id=HylTXn0qYX
73,Don't let your Discriminator be fooled,https://openreview.net/forum?id=HJE6X305Fm
74,Rigorous Agent Evaluation: An Adversarial Approach to Uncover Catastrophic Failures,https://openreview.net/forum?id=B1xhQhRcK7
75,Competitive experience replay,https://openreview.net/forum?id=Sklsm20ctX
76,A Max-Affine Spline Perspective of Recurrent Neural Networks,https://openreview.net/forum?id=BJej72AqF7
77,Top-Down Neural Model For Formulae,https://openreview.net/forum?id=Byg5QhR5FQ
78,Feature-Wise Bias Amplification,https://openreview.net/forum?id=S1ecm2C9K7
79,AD-VAT: An Asymmetric Dueling mechanism for learning Visual Active Tracking,https://openreview.net/forum?id=HkgYmhR9KX
80,Learning to Learn with Conditional Class Dependencies,https://openreview.net/forum?id=BJfOXnActQ
81,GAN Dissection: Visualizing and Understanding Generative Adversarial Networks,https://openreview.net/forum?id=Hyg_X2C5FX
82,TimbreTron: A WaveNet(CycleGAN(CQT(Audio))) Pipeline for Musical Timbre Transfer,https://openreview.net/forum?id=S1lvm305YQ
83,A Mean Field Theory of Batch Normalization,https://openreview.net/forum?id=SyMDXnCcF7
84,A Closer Look at Few-shot Classification,https://openreview.net/forum?id=HkxLXnAcFQ
85,STCN: Stochastic Temporal Convolutional Networks,https://openreview.net/forum?id=HkzSQhCcK7
86,RotatE: Knowledge Graph Embedding by Relational Rotation in Complex Space,https://openreview.net/forum?id=HkgEQnRqYQ
87,Learning to Navigate the Web,https://openreview.net/forum?id=BJemQ209FQ
88,Modeling Uncertainty with Hedged Instance Embeddings,https://openreview.net/forum?id=r1xQQhAqKX
89,Automatically Composing Representation Transformations as a Means for Generalization,https://openreview.net/forum?id=B1ffQnRcKX
90,Systematic Generalization: What Is Required and Can It Be Learned?,https://openreview.net/forum?id=HkezXnA9YX
91,Adaptive Input Representations for Neural Language Modeling,https://openreview.net/forum?id=ByxZX20qFQ
92,Optimal Control Via Neural Networks: A Convex Approach,https://openreview.net/forum?id=H1MW72AcK7
93,An Empirical Study of Example Forgetting during Deep Neural Network Learning,https://openreview.net/forum?id=BJlxm30cKm
94,GLUE: A Multi-Task Benchmark and Analysis Platform for Natural Language Understanding,https://openreview.net/forum?id=rJ4km2R5t7
95,"Plan Online, Learn Offline: Efficient Learning and Exploration via Model-Based Control",https://openreview.net/forum?id=Byey7n05FQ
96,Learning Grid Cells as Vector Representation of Self-Position Coupled with Matrix Representation of Self-Motion,https://openreview.net/forum?id=Syx0Mh05YQ
97,Preventing Posterior Collapse with delta-VAEs,https://openreview.net/forum?id=BJe0Gn0cY7
98,Deep Online Learning Via Meta-Learning: Continual Adaptation for Model-Based RL,https://openreview.net/forum?id=HyxAfnA5tm
99,Value Propagation Networks,https://openreview.net/forum?id=SJG6G2RqtX
100,Efficient Augmentation via Data Subsampling,https://openreview.net/forum?id=Byxpfh0cFm
101,ALISTA: Analytic Weights Are As Good As Learned Weights in LISTA,https://openreview.net/forum?id=B1lnzn0ctQ
102,Recall Traces: Backtracking Models for Efficient Reinforcement Learning,https://openreview.net/forum?id=HygsfnR9Ym
103,Fixup Initialization: Residual Learning Without Normalization,https://openreview.net/forum?id=H1gsz30cKX
104,Diversity-Sensitive Conditional Generative Adversarial Networks,https://openreview.net/forum?id=rJliMh09F7
105,Information asymmetry in KL-regularized RL,https://openreview.net/forum?id=S1lqMn05Ym
106,FlowQA: Grasping Flow in History for Conversational Machine Comprehension,https://openreview.net/forum?id=ByftGnR9KX
107,Probabilistic Planning with Sequential Monte Carlo methods,https://openreview.net/forum?id=ByetGn0cYX
108,Spreading vectors for similarity search,https://openreview.net/forum?id=SkGuG2R5tm
109,LanczosNet: Multi-Scale Deep Graph Convolutional Networks,https://openreview.net/forum?id=BkedznAqKQ
110,Learning what you can do before doing anything,https://openreview.net/forum?id=SylPMnR9Ym
111,Lagging Inference Networks and Posterior Collapse in Variational Autoencoders,https://openreview.net/forum?id=rylDfnCqF7
112,Preferences Implicit in the State of the World,https://openreview.net/forum?id=rkevMnRqYQ
113,A Direct Approach to Robust Deep Learning Using Adversarial Networks,https://openreview.net/forum?id=S1lIMn05F7
114,Improving the Generalization of Adversarial Training with Domain Adaptation,https://openreview.net/forum?id=SyfIfnC5Ym
