,title,link
0,Encoding Recurrence into Transformers,https://openreview.net/forum?id=7YfHla7IxBJ
1,Modeling content creator incentives on algorithm-curated platforms,https://openreview.net/forum?id=l6CpxixmUg
2,Transfer NAS with Meta-learned Bayesian Surrogates,https://openreview.net/forum?id=paGvsrl4Ntr
3,Scaling Up Probabilistic Circuits by Latent Variable Distillation,https://openreview.net/forum?id=067CGykiZTS
4,A Kernel Perspective of Skip Connections in Convolutional Networks,https://openreview.net/forum?id=6H_uOfcwiVh
5,WikiWhy: Answering and Explaining Cause-and-Effect Questions,https://openreview.net/forum?id=vaxnu-Utr4l
6,Git Re-Basin: Merging Models modulo Permutation Symmetries,https://openreview.net/forum?id=CQsmMYmlP5T
7,The Role of Coverage in Online Reinforcement Learning,https://openreview.net/forum?id=LQIjzPdDt3q
8,Is the Performance of My Deep Network Too Good to Be True? A Direct Approach to Estimating the Bayes Error in Binary Classification,https://openreview.net/forum?id=FZdJQgy05rz
9,Offline Q-learning on Diverse Multi-Task Data Both Scales And Generalizes,https://openreview.net/forum?id=4-k7kUavAj
10,What learning algorithm is in-context learning? Investigations with linear models,https://openreview.net/forum?id=0g0X4H8yN4I
11,"Towards Understanding Ensemble, Knowledge Distillation and Self-Distillation in Deep Learning",https://openreview.net/forum?id=Uuf2q9TfXGA
12,"When and Why Vision-Language Models Behave like Bags-Of-Words, and What to Do About It?",https://openreview.net/forum?id=KRLUvxh8uaX
13,Confidence-Conditioned Value Functions for Offline Reinforcement Learning,https://openreview.net/forum?id=Zeb5mTuqT5
14,On the Sensitivity of Reward Inference to Misspecified Human Models,https://openreview.net/forum?id=hJqGbUpDGV
15,Time Will Tell: New Outlooks and A Baseline for Temporal Multi-View 3D Object Detection,https://openreview.net/forum?id=H3HcEJA2Um
16,Dichotomy of Control: Separating What You Can Control from What You Cannot,https://openreview.net/forum?id=DEGjDDV22pI
17,Learning where and when to reason in neuro-symbolic inference,https://openreview.net/forum?id=en9V5F8PR-
18,On the duality between contrastive and non-contrastive self-supervised learning,https://openreview.net/forum?id=kDEL91Dufpa
19,DreamFusion: Text-to-3D using 2D Diffusion,https://openreview.net/forum?id=FjNys5c7VyY
20,Sampling is as easy as learning the score: theory for diffusion models with minimal data assumptions,https://openreview.net/forum?id=zyLVMgsZ0U_
21,Universal Few-shot Learning of Dense Prediction Tasks with Visual Token Matching,https://openreview.net/forum?id=88nT0j5jAn
22,Mitigating Gradient Bias in Multi-objective Learning: A Provably Convergent Approach,https://openreview.net/forum?id=dLAYGdKTi2
23,ReAct: Synergizing Reasoning and Acting in Language Models,https://openreview.net/forum?id=WE_vluYUL-X
24,Do We Really Need Complicated Model Architectures For Temporal Networks?,https://openreview.net/forum?id=ayPPc0SyLv1
25,Is Conditional Generative Modeling all you need for Decision Making?,https://openreview.net/forum?id=sP1fo2K9DFG
26,The Lie Derivative for Measuring Learned Equivariance,https://openreview.net/forum?id=JL7Va5Vy15J
27,Agree to Disagree: Diversity through Disagreement for Better Transferability,https://openreview.net/forum?id=K7CbYQbyYhY
28,Efficient Conditionally Invariant Representation Learning,https://openreview.net/forum?id=dJruFeSRym1
29,Aligning Model and Macaque Inferior Temporal Cortex Representations Improves Model-to-Human Behavioral Alignment and Adversarial Robustness,https://openreview.net/forum?id=SMYdcXjJh1q
30,Transformers Learn Shortcuts to Automata,https://openreview.net/forum?id=De4FYqjFueZ
31,In-context Reinforcement Learning with Algorithm Distillation,https://openreview.net/forum?id=hy0a5MMPUv
32,Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning,https://openreview.net/forum?id=3Pf3Wg6o-A4
33,Compressing multidimensional weather and climate data into neural networks,https://openreview.net/forum?id=Y5SEe3dfniJ
34,Confidential-PROFITT: Confidential PROof of FaIr Training of Trees,https://openreview.net/forum?id=iIfDQVyuFD
35,Near-optimal Coresets for Robust Clustering,https://openreview.net/forum?id=Nc1ZkRW8Vde
36,Targeted Hyperparameter Optimization with Lexicographic Preferences Over Multiple Objectives,https://openreview.net/forum?id=0Ij9_q567Ma
37,Mastering the Game of No-Press Diplomacy via Human-Regularized Reinforcement Learning and Planning,https://openreview.net/forum?id=F61FwJTZhb
